IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.16.182.253,443,443,TRUE,US CM-San Jose 104.16.182.253,North America,San Jose,100,8
104.16.190.33,443,443,TRUE,US CM-San Jose 104.16.190.33,North America,San Jose,100,8
104.16.180.10,443,443,TRUE,US CM-San Jose 104.16.180.10,North America,San Jose,100,8
104.16.160.181,443,443,TRUE,US CM-San Jose 104.16.160.181,North America,San Jose,100,8
104.16.167.73,443,443,TRUE,US CM-San Jose 104.16.167.73,North America,San Jose,100,8
104.16.170.227,443,443,TRUE,US CM-San Jose 104.16.170.227,North America,San Jose,100,8
104.16.207.93,443,443,TRUE,US CM-San Jose 104.16.207.93,North America,San Jose,100,8
104.16.165.89,443,443,TRUE,US CM-San Jose 104.16.165.89,North America,San Jose,100,8
104.16.175.204,443,443,TRUE,US CM-San Jose 104.16.175.204,North America,San Jose,100,8
104.16.208.152,443,443,TRUE,US CM-San Jose 104.16.208.152,North America,San Jose,100,8
104.16.172.128,443,443,TRUE,US CM-San Jose 104.16.172.128,North America,San Jose,100,8
104.16.178.140,443,443,TRUE,US CM-San Jose 104.16.178.140,North America,San Jose,100,8
104.16.173.86,443,443,TRUE,US CM-San Jose 104.16.173.86,North America,San Jose,100,8
104.16.189.17,443,443,TRUE,US CM-San Jose 104.16.189.17,North America,San Jose,100,8
104.16.162.36,443,443,TRUE,US CM-San Jose 104.16.162.36,North America,San Jose,100,8
104.16.187.243,443,443,TRUE,US CM-San Jose 104.16.187.243,North America,San Jose,100,8
104.16.211.93,443,443,TRUE,US CM-San Jose 104.16.211.93,North America,San Jose,100,8
104.16.183.64,443,443,TRUE,US CM-San Jose 104.16.183.64,North America,San Jose,100,8
104.16.181.120,443,443,TRUE,US CM-San Jose 104.16.181.120,North America,San Jose,100,8
104.16.163.48,443,443,TRUE,US CM-San Jose 104.16.163.48,North America,San Jose,100,8
104.16.195.25,443,443,TRUE,US CM-San Jose 104.16.195.25,North America,San Jose,100,8
104.16.194.145,443,443,TRUE,US CM-San Jose 104.16.194.145,North America,San Jose,100,8
104.16.203.161,443,443,TRUE,US CM-San Jose 104.16.203.161,North America,San Jose,100,8
104.16.171.135,443,443,TRUE,US CM-San Jose 104.16.171.135,North America,San Jose,100,8
104.16.185.87,443,443,TRUE,US CM-San Jose 104.16.185.87,North America,San Jose,100,8
104.16.200.139,443,443,TRUE,US CM-San Jose 104.16.200.139,North America,San Jose,100,8
104.16.196.181,443,443,TRUE,US CM-San Jose 104.16.196.181,North America,San Jose,100,8
104.16.184.29,443,443,TRUE,US CM-San Jose 104.16.184.29,North America,San Jose,100,8
104.16.176.213,443,443,TRUE,US CM-San Jose 104.16.176.213,North America,San Jose,100,8
104.16.188.101,443,443,TRUE,US CM-San Jose 104.16.188.101,North America,San Jose,100,8
104.16.199.192,443,443,TRUE,US CM-San Jose 104.16.199.192,North America,San Jose,100,8
104.16.198.77,443,443,TRUE,US CM-San Jose 104.16.198.77,North America,San Jose,100,8
